"species";"genus";"family";"species.relative";"genus.relative"
"Cecropia albicans";"Cecropia";"Urticaceae";NA;NA
"Ficus abelii";"Ficus";"Moraceae";NA;NA
"Piper abajoense";"Piper";"Piperaceae";NA;NA
"Solanum abitaguense";"Solanum";"Solanaceae";NA;NA
"Vismia baccifera";"Vismia";"Hypericaceae";NA;NA
"X";"Guttifferae";"Clusiaceae";NA;NA
"X";"Solanaceae";"Solanaceae";NA;NA
"X";"X";"X";NA;NA
"Andira anthelmia";"Andira";"Fabaceae";NA;NA
"Aureliana angustifolia";"Aureliana";"Solanaceae";NA;NA
"Cucurbita andreana";"Cucurbitaceae";"Cucurbitaceae";NA;NA
"Ottonia albopunctata";"Otonia";"Piperaceae";NA;NA
"Passiflora acreana";"Passiflora";"Passifloraceae";NA;NA
"Rubus acanthophyllos";"Rubus";"Rosaceae";NA;NA
"Vassobia breviflora";"Vassobia";"Solanaceae";NA;NA
"Maclura brasiliensis";"Maclura";"Moraceae";NA;NA
"Anthurium abajoense";"Anthurium";"Araceae";NA;NA
"Asplundia acuminata";"Asplundia";"Cyclanthaceae";NA;NA
"Cyclanthus bipartitus";"Cyclanthus";"Cyclanthaceae";NA;NA
"Lycianthes acidochondra";"Lycianthes";"Solanaceae";NA;NA
"Marcgravia atropunctata";"Marcgravia";"Marcgraviaceae";NA;NA
"Melastoma ansowii!";"Melastomataceae";"Melastomataceae";NA;NA
"Nicandra john-tyleriana";"Nicandra";"Solanaceae";NA;NA
"Nicotiana acaulis";"Nicotiana";"Solanaceae";NA;NA
"Philodendron acreanum";"Philodendron";"Araceae";NA;NA
"Rollinia amazonica";"Rollinia";"Annonaceae";NA;NA
"Xanthosoma acutilobum";"Xanthosoma";"Araceae";NA;NA
"Trema integerrimum";"Trema";"Cannabaceae";NA;NA
"Passiflora incarnata";"Passiifloraceae";"Passifloraceae";NA;NA
"Muntingia calabura";"Muntingia";"Muntingiaceae";NA;NA
"X";"Myrtaceae";"Myrtaceae";NA;NA
"Pilosocereus albisummus";"Pilosocereus";"Cactaceae";NA;NA
"Psidium acidum";"Psidium";"Myrtaceae";NA;NA
"Stenocereus stellatus";"Stenocereus";"Cactaceae";NA;NA
"Wilbrandia ebracteata";"Wilbrandia";"Cucurbitaceae";NA;NA
"Cestrum alternifolium";"Cestrum";"Solanaceae";NA;NA
"Clidemia benthamiana";"Clidemia";"Melastomataceae";NA;NA
"Monstera adansonii";"Monstera";"Araceae";NA;NA
"Psammisia aestuans";"Psammisia";"Ericaceae";NA;NA
"Saurauia adenodonta";"Saurauia";"Actinidiaceae";NA;NA
"Sphaeradenia acutitepala";"Sphaeradenia";"Cyclanthaceae";NA;NA
"Cavendishia adenophora";"Cavendishia";"Ericaceae";NA;NA
"Centropogon acrodentatus";"Centropogon";"Campanulaceae";NA;NA
"Columnea albiflora";"Columnea";"Gesneriaceae";NA;NA
"Fuchsia alpestris";"Fuchsia";"Onagraceae";NA;NA
"Aechmea abbreviata";"Aechmea";"Bromeliaceae";NA;NA
"Conostegia apiculata";"Conostegia";"Melastomataceae";NA;NA
"Coussapoa angustifolia";"Coussapoa";"Urticaceae";NA;NA
"Juanulloa ferruginea";"Juanulloa";"Solanaceae";NA;NA
"Manilkara bidentata";"Manilkara";"Sapotaceae";NA;NA
"Physalis angulata";"Physalis";"Solanaceae";NA;NA
"X";"Piperaceae";"Piperaceae";NA;NA
"Poulsenia armata";"Poulsenia";"Moraceae";NA;NA
"Senna aculeata";"Senna";"Fabaceae";NA;NA
"Spondias admirabilis";"Spondias";"Anacardiaceae";NA;NA
"Evodianthus funifer";"Evodianthus";"Cyclanthaceae";NA;NA
"Schlegelia aurea";"Schlegelia";"Schlegeliaceae";NA;NA
"Thoracocarpus bissectus";"Thoracocarpus";"Cyclanthaceae";NA;NA
"Cuatresia anomala";"Cuatresia";"Solanaceae";NA;NA
"Ageratum ballotifolium";"Ageratum";"Asteraceae";NA;NA
"Alchornea acroneura";"Alchornea";"Euphorbiaceae";NA;NA
"Aldama amphichlora";"Aldama";"Asteraceae";NA;NA
"Calophyllum angulare";"Calophyllum";"Calophyllaceae";NA;NA
"Drymaria apetala";"Drymaria";"Caryophyllaceae";NA;NA
"Garcinia albuquerquei";"Garcinia";"Clusiaceae";NA;NA
"Hedyosmum angustifolium";"Hedyosmum";"Cloranthaceae";NA;NA
"Miconia abbreviata";"Miconia";"Melastomataceae";NA;NA
"Peperomia abbreviatipes";"Peperomia";"Piperaceae";NA;NA
"Salvia acuminata";"Salvia";"Lamiaceae";NA;NA
"Syzygium cumini";"Syzygium";"Myrtaceae";NA;NA
"Tridax angustifolia";"Tridax";"Asteraceae";NA;NA
"Trophis racemosa";"Trophis";"Moraceae";NA;NA
"Vernonia echioides";"Vernonia";"Asteraceae";NA;NA
"Carica aprica";"Carica";"Caricaceae";NA;NA
"Anacardium amapaense";"Anacardium";"Anacardiaceae";NA;NA
"Brosimum acutifolium";"Brosinum";"Moraceae";NA;NA
"Dipteryx alata";"Dipteryx";"Fabaceae";NA;NA
"Guettarda angelica";"Guettarda";"Rubiaceae";NA;NA
"Quararibea amazonica";"Quararibea";"Malvaceae";NA;NA
"Chlorophora excelsa";"Chlorophora";"Moraceae";NA;NA
"Mangifera indica";"Mangifera";"Anacardiaceae";NA;NA
"Eriobotrya japonica";"Eriobotrya";"Rosaceae";NA;NA
"Paullinia acutangula";"Paullinia";"Sapindaceae";NA;NA
"Annona acuminata";"Annona";"Annonaceae";NA;NA
"Clarisia biflora";"Clarisia";"Moraceae";NA;NA
"Hernandia didymantha";"Hernandia";"Hernandiaceae";NA;NA
"Markea antioquiensis";"Markea";"Solanaceae";NA;NA
"Piper umbellatum";"Pothomorphe";"Piperaceae";NA;NA
"X";"Moraceae";"Moraceae";NA;NA
"X";"Fabaceae";"Fabaceae";NA;NA
"Lantana achyranthifolia";"Lantana";"Verbenaceae";NA;NA
"Dyssochroma atlantica";"Dyssochroma";"Solanaceae";NA;NA
"Prunus accumulans";"Prunus";"Rosaceae";NA;NA
"Acnistus arborescens";"Acnistus";"Solanaceae";NA;NA
"Cassia cowanii";"Cassia";"Fabaceae";NA;NA
"Manilkara zapota";"Achras";"Sapotaceae";NA;NA
"Byrsonima aerugo";"Byrsonima";"Malpighiaceae";NA;NA
"Clusia aemygdioi";"Clusia";"Clusiaceae";NA;NA
"Coffea liberica";"Coffea";"Rubiaceae";NA;NA
"Couma arenicola";"Couma";"Apocynaceae";NA;NA
"Eugenia acapulcensis";"Eugenia";"Myrtaceae";NA;NA
"Musa acuminata";"Musa";"Musaceae";NA;NA
"Myrcia abrantea";"Myrcia";"Myrtaceae";NA;NA
"Poraqueiba guianensis";"Poraqueiba";"Metteniusaceae";NA;NA
"Sacoglottis amazonica";"Sacoglottis";"Humiriaceae";NA;NA
"Siparuna alternifolia";"Siparuna";"Siparunaceae";NA;NA
"Terminalia actinophylla";"Terminalia";"Combretaceae";NA;NA
"Tovomita aequatoriensis";"Tomovita";"Clusiaceae";NA;NA
"Celtis brasiliensis";"Celtis";"Cannabaceae";NA;NA
"Randia altiscandens";"Randia";"Rubiaceae";NA;NA
"Urera aurantiaca";"Urera";"Urticaceae";NA;NA
"Chrysophyllum albidum";"Crysophyllum";"Sapotaceae";NA;NA
"Borreria affinis";"Borreria";"Rubiaceae";NA;NA
"Coccocypselum anomalum";"Coccocypselum";"Rubiaceae";NA;NA
"Godmania aesculifolia";"Godmania";"Bignoniaceae";NA;NA
"Psychotria abdita";"Psychotria";"Rubiaceae";NA;NA
"X";"Photomorpha";"X";NA;NA
"Gurania acuminata";"Gurania";"Cucurbitaceae";NA;NA
"Gesneria ventricosa";"Gesneriaceae";"Gesneriaceae";NA;NA
"Trianaea brevipes";"Trianea";"Solanaceae";NA;NA
