latitude;longitude;temperature;precipitation;npp
4,673612;-75,615;16,45;3232,6;1966
-19,833333;-41,833333;21,65;1427,9;1797,1
-24,2;-48,05;20,75;2041,3;2312,9
8,93;-68,0496;25,25;1483,7;1846,2
-10,997;-75,4325;17,35;2366,8;2037,3
-2,4;-59,88;25,85;2347,1;2332
-23,9166;-51,95;22,05;1538,1;1880,1
6,816;-73;23,75;1360,5;1744
3,516;-73,388;25,65;4435,6;2555,6
-22,8152;-48,39;21,85;1346,3;1732,6
8,8666;-70,4833;21,95;2098,4;2216,7
4,8798;-75,6276;18,35;3601,2;2098,5
17,597;-92,45;25,05;2680,2;2460,3
4,083;-52,683;25,35;2813,8;2504,5
4,75;-75,7666;20,25;3306,3;2247,8
-22,745;-47,109;21,85;1580,2;1905,1
15,143;-92,232;16,95;4243;2075,8
22,244;-98,94;22,95;1287,9;1680,4
-19,666;-42,911;22,15;1532,9;1876,8
9,157;-79,847;22,45;3133,4;2568,9
10,432543;-85,100599;26,05;1999,7;2156,2
19,521;-96,991;18,15;1864,7;2060,5
4,383;-58,921;25,95;1956,1;2141,1
-19,56;-56,233;25,85;1275,1;1675,9
10,433;-83,983;24,55;3842,6;2498,8
17,0694;-89,4;25,95;1326,4;1697,6
-16,1833;-68,8833;9,75;1185,9;1342,2
22,851;-82,931;23,95;1630;1938,3
-13,0555;-71,546388;18,55;2958,1;2150,1
-21,7;-43,9;16,85;1898,8;1966
3,8333;-76,3333;22,25;1639,5;1949,4
-25,166;-48,25;21,75;2628,4;1822,7
-4,081;-80,566;20,65;706,4;1074,1
-24,2666;-48,4;17,85;2096,1;2075,8
14,0833333;-88,75;25,95;985,3;1433,8
-2,992373;-60,028913;26,55;2487,6;2393,1
-24,033;-65,116;16,65;1586,1;1668
-25,666;-54,45;21,85;1807,6;2045,8
17,293;-94,3869;24,75;3434,7;2508,6
-22,366;-46,97;22,15;1525,9;1874,2
2,728;-73,75;25,05;2397,4;2345,9
-19,483;-42,466;24,25;1217,5;1627,9
-3,971;-79,078;16,85;1229,7;1634,4
